avearge_WindSpeed_prediction,avearge_WindDirectionCos_prediction,avearge_WindDirectionSin_prediction,da_AirTemperature_prediction,da_AirHumidity_prediction,da_AirPressure_prediction,real_WindPower
0.365869018,0.899317755,0.18126018,0.069767442,0.642857143,0.166666667,0.402767487
0.365869018,0.914518787,0.203054022,0.046511628,0.714285714,0.333333333,0.43050499
0.357808564,0.919335284,0.210495808,0.046511628,0.714285714,0.333333333,0.443422508
0.349748111,0.928583651,0.225631578,0.046511628,0.714285714,0.333333333,0.394037514
0.341435768,0.933012702,0.233320952,0.023255814,0.714285714,0.333333333,0.349314995
0.341435768,0.941473797,0.248930967,0.023255814,0.714285714,0.333333333,0.332227516
0.33324937,0.945503262,0.256846853,0,0.714285714,0.333333333,0.270537491
0.33324937,0.956772729,0.281009027,0,0.714285714,0.333333333,0.18265274
0.341435768,0.960252427,0.289193079,0.023255814,0.714285714,0.333333333,0.256520004
0.341435768,0.963591928,0.29743799,0.023255814,0.642857143,0.5,0.268260002
0.349748111,0.966790213,0.305741247,0.046511628,0.642857143,0.5,0.268145008
0.341435768,0.96984631,0.314100322,0.046511628,0.642857143,0.5,0.253705006
0.349748111,0.972759288,0.322512669,0.069767442,0.571428571,0.5,0.196706505
0.357808564,0.975528258,0.330975724,0.093023256,0.571428571,0.5,0.198651257
0.365869018,0.975528258,0.330975724,0.11627907,0.5,0.5,0.207970505
0.365869018,0.978152378,0.33948691,0.11627907,0.5,0.5,0.300492497
0.349748111,0.982962913,0.356643292,0.11627907,0.5,0.5,0.314925003
0.341435768,0.982962913,0.356643292,0.139534884,0.428571429,0.5,0.256897507
0.325188917,0.987185033,0.373960911,0.139534884,0.428571429,0.5,0.234123993
0.308942066,0.9890738,0.382673598,0.139534884,0.428571429,0.5,0.222332001
0.292821159,0.992403877,0.400193458,0.162790698,0.428571429,0.5,0.153243246
0.284634761,0.993844171,0.408995295,0.162790698,0.357142857,0.5,0.175102253
0.260075567,0.996273076,0.426669375,0.186046512,0.357142857,0.5,0.191197491
0.243828715,0.998097349,0.444419377,0.186046512,0.357142857,0.5,0.242624741
0.227707809,0.999314768,0.462223675,0.186046512,0.357142857,0.5,0.293902493
0.211335013,1,0.488984464,0.209302326,0.285714286,0.333333333,0.319677506
0.195088161,0.999923848,0.497908351,0.209302326,0.285714286,0.333333333,0.296410008
0.186901763,0.998782025,0.524652834,0.209302326,0.285714286,0.333333333,0.289185009
0.186901763,0.997260948,0.542432692,0.209302326,0.285714286,0.333333333,0.243363991
0.195088161,0.996273076,0.551299552,0.209302326,0.285714286,0.333333333,0.188575249
0.195088161,0.995134035,0.560147431,0.209302326,0.285714286,0.333333333,0.1691185
0.203274559,0.992403877,0.57777547,0.209302326,0.285714286,0.333333333,0.120084753
0.203274559,0.9890738,0.59529533,0.209302326,0.285714286,0.333333333,0.090675249
0.203274559,0.978152378,0.638482017,0.186046512,0.357142857,0.333333333,0.048875251
0.203274559,0.972759288,0.655456259,0.186046512,0.357142857,0.333333333,0.0074624
0.203274559,0.963591928,0.680530938,0.186046512,0.357142857,0.333333333,0
0.203274559,0.953153894,0.705080601,0.186046512,0.357142857,0.333333333,0
0.195088161,0.937309854,0.736880723,0.186046512,0.357142857,0.166666667,0
0.195088161,0.924024048,0.759946503,0.186046512,0.357142857,0.166666667,0
0.195088161,0.904508497,0.789534947,0.186046512,0.357142857,0.166666667,0
0.186901763,0.87735479,0.824445174,0.186046512,0.357142857,0.166666667,0
0.178715365,0.8596699,0.84418206,0.186046512,0.357142857,0.333333333,0
0.170654912,0.828029515,0.874887866,0.186046512,0.357142857,0.333333333,0
0.178715365,0.800907512,0.897348381,0.186046512,0.357142857,0.333333333,0
0.170654912,0.764959632,0.922614372,0.186046512,0.357142857,0.333333333,0
0.170654912,0.72699525,0.944580177,0.186046512,0.357142857,0.333333333,0
0.170654912,0.687303297,0.963078624,0.186046512,0.357142857,0.333333333,0
0.162594458,0.637818678,0.980503545,0.186046512,0.357142857,0.333333333,0
0.170654912,0.595404498,0.990916969,0.162790698,0.357142857,0.333333333,0
0.162594458,0.552264232,0.997510383,0.162790698,0.428571429,0.5,0
0.170654912,0.517449749,1,0.139534884,0.428571429,0.5,0
0.162594458,0.473832022,0.999610731,0.139534884,0.428571429,0.5,0
0.154534005,0.43041345,0.995335287,0.11627907,0.428571429,0.5,0
0.154534005,0.387524473,0.987206208,0.11627907,0.5,0.5,0
0.154534005,0.345491503,0.975285361,0.093023256,0.5,0.5,0
0.154534005,0.304634436,0.95966347,0.093023256,0.5,0.5,0
0.162594458,0.25759519,0.936201155,0.093023256,0.5,0.5,0
0.162594458,0.220403549,0.912893778,0.11627907,0.5,0.666666667,0
0.178715365,0.178606195,0.880683688,0.11627907,0.5,0.666666667,0
0.186901763,0.15900082,0.862945375,0.11627907,0.5,0.666666667,0
0.170654912,0.14644661,0.850547269,0.11627907,0.5,0.666666667,0
0.170654912,0.134323149,0.837708655,0.11627907,0.5,0.666666667,0
0.162594458,0.12264521,0.824445174,0.11627907,0.5,0.666666667,0
0.154534005,0.105994623,0.803788813,0.11627907,0.5,0.666666667,0.01738
0.146221662,0.100682245,0.796708748,0.139534884,0.5,0.666666667,0.027306499
0.146221662,0.080664716,0.76747312,0.139534884,0.428571429,0.666666667,0.0108328
0.138161209,0.075975952,0.759946503,0.162790698,0.428571429,0.666666667,0
0.138161209,0.058526204,0.72903796,0.162790698,0.428571429,0.666666667,0.019712
0.138161209,0.043227271,0.696959901,0.186046512,0.357142857,0.666666667,0.064460001
0.146221662,0.03015369,0.663868605,0.209302326,0.357142857,0.666666667,0.078337498
0.390302267,0.001217975,0.453316094,0.302325581,0.285714286,0.5,0.079481502
0.390302267,0.001217975,0.453316094,0.302325581,0.285714286,0.5,0.09104475
0.373929471,0.001902651,0.444419377,0.325581395,0.214285714,0.5,0.061564751
0.373929471,0.003726924,0.426669375,0.325581395,0.142857143,0.666666667,0.027764001
0.357808564,0.00615583,0.408995295,0.348837209,0.071428571,0.666666667,0.0181016
